Qty	Lot ID	Size	Carat	Lab	Shape	Color	Clarity	Cut	Polish	Symmetry	Fluorescence	Discount	Per Carat Rate	Final Amount	Key To Symbol	Lab Comment
1	790185947	0.90-0.99	0.90	GIA	BR	E	VVS2	EX	EX	EX	NON	-44.00	3,864.00	3,477.60	Cloud, Indented Natural, Cavity, Natural	Pinpoints are not shown.
1	490361405	0.90-0.99	0.90	GIA	BR	G	VVS1	EX	EX	EX	NON	-41.00	3,776.00	3,398.40	Pinpoint	
1	790367521	1.00-1.49	1.00	GIA	BR	F	VVS2	VG	EX	G	MED	-58.98	3,445.68	3,445.68	Cloud, Pinpoint, Indented Natural	Additional pinpoints are not shown. Surface graining is not shown.
1	490361912	1.00-1.49	1.00	GIA	BR	H	VVS2	EX	EX	EX	NON	-41.00	3,245.00	3,245.00	Needle, Pinpoint, Indented Natural, Natural	Additional pinpoints are not shown.
1	790386188	1.00-1.49	1.01	GIA	BR	F	VS1	VG	EX	VG	NON	-49.12	3,663.36	3,699.99	Crystal, Needle	Pinpoints are not shown. Clouds are not shown.
1	21287670	1.00-1.49	1.01	In-House	BR	G	I1	EX	EX	EX	NON	-48.42	1,598.98	1,614.97		
1	790146218	1.00-1.49	1.20	GIA	BR	G	VS1	EX	EX	EX	FNT	-41.48	3,628.24	4,353.89	Crystal, Cloud, Needle	Additional clouds are not shown. Pinpoints are not shown.
1	900066231	1.00-1.49	1.44	In-House	BR	F	VS2	G	G	G	MED	-94.00	402.00	578.88		
1	900061985	1.00-1.49	1.46	In-House	BR	H	VS2	G	G	G	MED	-94.00	324.00	473.04		
1	490345395	0.30-0.39	0.30	GIA	BR	D	FL	EX	EX	EX	NON	-18.00	2,296.00	688.80		
1	490370762	0.30-0.39	0.30	GIA	BR	D	VVS1	EX	EX	EX	NON	-35.00	1,560.00	468.00	Pinpoint	
1	1712094	0.30-0.39	0.30	GIA	BR	D	VVS1	VG	VG	EX	MED	-52.50	1,140.00	342.00	Cavity, Feather, Indented Natural	
1	900057394	0.30-0.39	0.30	GIA	BR	D	VVS1	EX	EX	EX	NON	-38.00	1,488.00	446.40	Pinpoint, Feather	
1	900055819	0.30-0.39	0.30	GIA	BR	D	VVS1	EX	EX	EX	NON	-38.00	1,488.00	446.40	Pinpoint	
1	1706382	0.30-0.39	0.30	GIA	BR	D	VVS1	VG	VG	VG	FNT	-48.00	1,248.00	374.40	Pinpoint, Feather, Chip	
1	290135752	0.30-0.39	0.30	GIA	BR	D	VVS1	VG	EX	VG	FNT	-48.50	1,236.00	370.80	Pinpoint, Feather	
1	490250218	0.30-0.39	0.30	GIA	BR	D	VVS1	VG	EX	VG	FNT	-47.50	1,260.00	378.00	Pinpoint, Feather	
1	490167040	0.30-0.39	0.30	GIA	BR	D	VVS1	VG	EX	VG	FNT	-47.50	1,260.00	378.00	Pinpoint, Feather	
1	900066356	0.18-0.22	0.18	In-House	BR	D	VS1	EX	EX	EX	FNT	-37.67	785.36	141.36		
1	900064899	0.18-0.22	0.18	In-House	BR	D	VS1	EX	EX	EX	FNT	-37.67	785.36	141.36		
1	900067131	0.23-0.29	0.23	In-House	BR	D	SI2	VG	VG	VG	MED	-37.28	683.65	157.24		
1	900066716	0.23-0.29	0.23	In-House	BR	E	SI2	EX	EX	EX	FNT	-37.28	683.65	157.24		
1	900062564	3.00-3.99	3.01	GIA	BR	D	IF	EX	EX	EX	NON	-41.00	32,450.00	97,674.50		Minor details of polish are not shown.
1	900065188	3.00-3.99	3.01	GIA	BR	D	VVS1	EX	EX	EX	NON	-39.00	28,060.00	84,460.60	Pinpoint	Additional pinpoints are not shown.
1	290187276	3.00-3.99	3.01	GIA	BR	D	VVS1	EX	EX	EX	NON	-43.00	26,220.00	78,922.20	Pinpoint, Needle	
